player_name,market_value,shots,goals,passes,total_minutes,sentiment_score,sentiment_label,total_days_out,games_missed,goal_conversion_rate,minutes_per_goal,performance_index,injury_risk_score
aaron cresswell,3.6,7,0,396,1222,0.403473638,positive,22,4,0,1222,120.9,0.017988553
aaron ramsey,4,12,1,397,1411,0,neutral,569,94,0.083333333,1411,123.1,0.402974504
abdoulaye ba,60,1,0,45,167,0,neutral,0,0,0,167,13.8,0
abdoulaye doucouré,48,1,0,37,137,0.158548168,positive,187,32,0,137,11.4,1.355072464
abdul rahman baba,16,4,0,228,783,0,neutral,64,14,0,783,69.6,0.081632653
abdón prats bastidas,7.2,1,0,3,23,0,neutral,0,0,0,23,1.2,0
abel ruiz ortega,24,1,0,12,60,0,neutral,0,0,0,60,3.9,0
adam smith,4,6,0,476,1649,0.153316,positive,97,15,0,1649,144.6,0.058787879
adnan januzaj,9.6,1,0,14,76,0,neutral,107,15,0,76,4.5,1.38961039
adrián embarba blázquez,8,5,0,51,291,0,neutral,0,0,0,291,16.8,0
adrián marín gómez,12,1,0,36,131,0,neutral,0,0,0,131,11.1,0
alberto moreno pérez,8,8,2,510,1593,0,neutral,0,0,0.25,796.5,156.2,0
alberto paloschi,1,3,0,52,261,0,neutral,0,0,0,261,16.5,0
aleix garcía serrano,160,1,0,53,195,0,neutral,0,0,0,195,16.2,0
alejandro gallar falguera,1.2,1,1,19,80,0,neutral,0,0,1,80,6.4,0
alejandro menéndez díez,40,4,0,34,217,0,neutral,0,0,0,217,11.4,0
alejandro pozo pozo,12,1,0,59,179,0,neutral,0,0,0,179,18,0
aleksandar katai,5.6,1,0,19,96,0,neutral,0,0,0,96,6,0
aleksandar mitrović,96,29,2,279,1564,0,neutral,119,24,0.068965517,782,93.2,0.076038339
alen halilović,6.4,3,0,70,289,0,neutral,0,0,0,289,21.9,0
alex iwobi,200,8,1,136,582,0.241637615,positive,71,14,0.125,582,43.6,0.121783877
alex oxlade-chamberlain,12,2,0,68,260,0.113403621,positive,208,34,0,260,21,0.796934866
alex sandro lobo silva,12,1,0,47,155,0,neutral,0,0,0,155,14.4,0
alexander isak,960,7,1,35,203,0.214771162,positive,341,60,0.142857143,203,13,1.671568627
alexis alejandro sánchez sánchez,11.2,68,11,1068,4849,0,neutral,0,0,0.161764706,440.8181818,345.2,0
aly cissokho,80,1,0,418,1180,0,neutral,0,0,0,1180,125.7,0
anaitz arbilla zabala,80,3,0,228,763,0,neutral,0,0,0,763,69.3,0
ander barrenetxea muguruza,160,3,0,21,147,0,neutral,0,0,0,147,7.2,0
ander herrera agüera,4,11,2,547,1967,0,neutral,0,0,0.181818182,983.5,168.2,0
andrew robertson,96,1,0,94,280,0.099097074,positive,159,36,0,280,28.5,0.565836299
andros townsend,4,11,2,152,709,0,neutral,438,51,0.181818182,354.5,49.7,0.616901408
andré filipe tavares gomes,36,18,3,932,3656,0,neutral,0,0,0.166666667,1218.666667,286.2,0
andré miguel valente silva,24,1,0,24,122,0,neutral,0,0,0,122,7.5,0
anssumane fati,80,27,5,451,2017,0,neutral,0,0,0.185185185,403.4,145.4,0
ante budimir,24,4,2,37,213,0,neutral,125,22,0.5,106.5,13.1,0.58411215
anthony martial,48,20,6,335,1789,0.214903667,positive,394,76,0.3,298.1666667,108.9,0.220111732
antoine griezmann,88,66,9,1327,5316,0,neutral,181,34,0.136363636,590.6666667,421.5,0.034041753
antonio latorre grueso,12,1,0,68,211,0,neutral,0,0,0,211,20.7,0
armindo tué na bangna,40,4,0,8,46,0,neutral,0,0,0,46,3.6,0
arthur henrique ramos de oliveira melo,32,9,2,2044,6815,0,neutral,0,0,0.222222222,3407.5,616.7,0
arturo erasmo vidal pardo,1.4,47,9,2615,9558,0,neutral,0,0,0.191489362,1062,802.2,0
ashley westwood,3.2,11,0,459,1568,0,neutral,272,37,0,1568,141,0.173358827
ashley young,3.2,3,0,321,979,0.0867875,positive,60,11,0,979,97.2,0.06122449
asier illarramendi andonegi,4,2,0,204,780,0,neutral,0,0,0,780,61.8,0
aymeric laporte,72,4,0,179,580,0.177959925,positive,152,27,0,580,54.9,0.2616179
ayoze pérez gutiérrez,48,18,1,275,1402,0,neutral,0,0,0.055555556,1402,88.3,0
aïssa mandi,8,1,0,158,559,0,neutral,43,10,0,559,47.7,0.076785714
bakary sako,20,10,1,134,619,0,neutral,6,1,0.1,619,43.6,0.009677419
ben davies,40,3,0,338,975,0.131817333,positive,335,60,0,975,102.3,0.343237705
bernard mensah,17.6,1,0,2,25,0,neutral,0,0,0,25,0.9,0
bertrand isidore traoré,40,7,1,57,322,0,neutral,0,0,0.142857143,322,19.6,0
borja gonzález tomás,3.6,1,0,38,252,0,neutral,0,0,0,252,11.7,0
borja iglesias quintas,24,3,0,56,283,0,neutral,0,0,0,283,17.7,0
borja mayoral moya,60,4,1,69,359,0,neutral,0,0,0.25,359,22.3,0
brais méndez portela,96,3,0,69,314,0,neutral,0,0,0,314,21.6,0
brendan joel zibusiso galloway,2,1,0,172,575,0,neutral,0,0,0,575,51.9,0
bryan oviedo,1,1,0,92,312,0,neutral,0,0,0,312,27.9,0
callum mcmanaman,40,5,0,60,268,0,neutral,0,0,0,268,19.5,0
callum wilson,40,3,1,41,349,0.171535833,positive,677,114,0.333333333,349,13.6,1.934285714
cameron brannagan,4.8,1,0,108,375,0,neutral,0,0,0,375,32.7,0
carl jenkinson,60,3,2,233,692,0,neutral,0,0,0.666666667,346,71.6,0
carles aleña castillo,24,12,2,628,2230,0,neutral,0,0,0.166666667,1115,192.8,0
carles gil de pareja vicent,20,8,1,354,1428,0,neutral,0,0,0.125,1428,109,0
carles pérez sayol,14.4,2,0,91,336,0,neutral,0,0,0,336,27.9,0
carlos arturo bacca ahumada,40,8,1,72,393,0,neutral,0,0,0.125,393,24.4,0
carlos fernández luna,8,1,0,29,212,0,neutral,0,0,0,212,9,0
carlos henrique casimiro,64,13,2,417,1509,0,neutral,0,0,0.153846154,754.5,129.8,0
carlos joaquín correa,24,1,0,31,183,0,neutral,0,0,0,183,9.6,0
carlos neva tey,8,1,0,26,73,0,neutral,0,0,0,73,8.1,0
carlos soler barragán,64,2,0,60,319,0,neutral,0,0,0,319,18.6,0
celso borges mora,1.2,4,0,136,516,0,neutral,0,0,0,516,42,0
chancel mbemba mangulu,20,4,0,370,1247,0,neutral,0,0,0,1247,112.2,0
cheikhou kouyaté,1.2,13,1,272,1071,0.00631875,neutral,44,6,0.076923077,1071,85.9,0.041044776
chris smalling,9.6,6,0,484,1510,0,neutral,421,82,0,1510,147,0.278623428
christian benteke liolo,12,17,4,199,1002,0,neutral,0,0,0.235294118,250.5,66.4,0
christian dannemann eriksen,24,39,5,762,2664,0,neutral,0,0,0.128205128,532.8,242.3,0
christian robert santos kwasniewski,20,2,0,31,136,0,neutral,0,0,0,136,9.9,0
chung-yong lee,2,3,0,90,341,0,neutral,0,0,0,341,27.9,0
claudio santos,5.2,1,0,27,98,0,neutral,0,0,0,98,8.4,0
clément lenglet,48,15,3,2832,8766,0.078811702,positive,50,11,0.2,2922,855.3,0.005703205
craig dawson,7.2,9,0,459,1314,0.128461489,positive,145,28,0,1314,140.4,0.11026616
cristhian ricardo stuani curbelo,7.2,8,2,50,364,0,neutral,0,0,0.25,182,18.2,0
cristian portugués manzanera,12,3,0,59,396,0,neutral,0,0,0,396,18.6,0
cristiano ronaldo dos santos aveiro,96,67,8,404,1904,0,neutral,0,0,0.119402985,238,144.5,0
cédric bakambu,11.2,7,2,38,218,0,neutral,6,1,0.285714286,109,14.3,0.02739726
cédric ricardo alves soares,6.4,1,0,245,766,0,neutral,0,0,0,766,73.8,0
césar azpilicueta tanco,9.6,5,2,1028,2962,0,neutral,0,0,0.4,1481,310.7,0
daley blind,11.2,2,1,634,1845,0,neutral,0,0,0.5,1845,191.2,0
daniel carvajal ramos,56,3,0,737,2343,0,neutral,0,0,0,2343,222,0
daniel ceballos fernández,64,4,0,101,574,0,neutral,0,0,0,574,31.5,0
daniel garcía carrillo,6.4,1,0,255,934,0,neutral,0,0,0,934,76.8,0
daniel josé rodríguez vázquez,80,4,0,82,393,0,neutral,0,0,0,393,25.8,0
daniel nii tackie mensah welbeck,32,7,1,39,314,0,neutral,0,0,0.142857143,314,14.2,0
daniel parejo muñoz,9.6,15,2,372,1598,0,neutral,0,0,0.133333333,799,116.9,0
daniel wass,4,7,0,167,647,0,neutral,134,28,0,647,52.2,0.206790123
daniel william john ings,28,7,2,58,307,0,neutral,0,0,0.285714286,153.5,20.3,0
daniele verde,6,2,0,32,148,0,neutral,90,14,0,148,10.2,0.604026846
danilo barbosa da silva,17.6,3,0,20,123,0,neutral,0,0,0,123,6.9,0
danilo luiz da silva,20,2,0,90,277,0,neutral,0,0,0,277,27.6,0
darko brašanac,3.2,1,0,19,79,0,neutral,0,0,0,79,6,0
darwin daniel machís marcano,3.6,6,0,50,340,0,neutral,0,0,0,340,16.8,0
david juncà reñé,1.2,1,0,134,397,0,neutral,0,0,0,397,40.5,0
david luiz moreira marinho,1.6,1,1,43,151,0,neutral,0,0,1,151,13.6,0
david lópez silva,6.4,3,2,167,608,0,neutral,0,0,0.666666667,304,51.8,0
david olatukunbo alaba,32,1,0,79,203,0,neutral,0,0,0,203,24,0
david remeseiro salgueiro,17.6,3,0,62,293,0,neutral,0,0,0,293,19.5,0
david simón rodríguez santana,40,1,0,37,149,0,neutral,0,0,0,149,11.4,0
dejan lovren,4,7,0,522,1583,0,neutral,75,6,0,1583,158.7,0.047348485
demarai gray,28,1,0,16,56,0.169053647,positive,43,8,0,56,5.1,0.754385965
denis cheryshev,2.4,8,1,131,633,0,neutral,113,19,0.125,633,42.1,0.178233438
denis suárez fernández,9.6,14,1,812,3105,0,neutral,0,0,0.071428571,3105,248.2,0
deyverson brum silva acosta,3.2,9,1,47,294,0,neutral,0,0,0.111111111,294,17.2,0
diego mario buonanotte rende,20,2,1,15,76,0,neutral,0,0,0.5,76,5.5,0
diego da silva costa,3.2,33,3,409,2280,0,neutral,0,0,0.090909091,760,133.8,0
dimitri foulquier,9.6,1,0,137,577,0,neutral,160,18,0,577,41.4,0.276816609
dimitri payet,4,21,3,468,1675,0,neutral,95,12,0.142857143,558.3333333,147.9,0.056682578
divock okoth origi,4,10,3,85,580,0,neutral,0,0,0.3,193.3333333,29.7,0
duje čop,80,4,0,50,279,0,neutral,0,0,0,279,16.2,0
duncan watmore,4,10,1,98,755,0,neutral,0,0,0.1,755,32.8,0
dušan tadić,16,20,1,375,1558,0,neutral,0,0,0.05,1558,118.9,0
edgar antonio méndez ortega,2,4,0,104,565,0,neutral,0,0,0,565,32.4,0
eduardo expósito jaén,32,1,0,51,224,0,neutral,0,0,0,224,15.6,0
eliaquim mangala,1.2,5,1,248,832,0,neutral,66,8,0.2,832,76.3,0.079231693
emiliano buendía,144,1,0,73,356,0,neutral,328,56,0,356,22.2,0.918767507
emiliano daniel velázquez maldonado,2.4,2,0,66,268,0,neutral,0,0,0,268,20.4,0
emmanuel okyere boateng,9.6,2,0,8,56,0,neutral,0,0,0,56,3,0
emre can,48,7,0,644,2260,0,neutral,318,54,0,2260,195.3,0.140645732
enes ünal,64,6,0,57,334,0,neutral,1017,136,0,334,18.9,3.035820896
enis bardhi,24,6,0,107,426,0,neutral,0,0,0,426,33.9,0
enner remberto valencia lastra,12,8,2,81,582,0,neutral,0,0,0.25,291,27.5,0
enrique garcía martínez,6.4,4,0,39,265,0,neutral,0,0,0,265,12.9,0
enrique pérez muñoz,17.6,3,0,41,201,0,neutral,0,0,0,201,13.2,0
enzo nicolás pérez,1.2,1,0,130,533,0,neutral,0,0,0,533,39.3,0
enzo pablo roco roco,3.2,1,0,51,195,0,neutral,0,0,0,195,15.6,0
eric dier,56,10,0,805,2513,0.081591833,positive,176,27,0,2513,244.5,0.070007955
erick cathriel cabaco almada,2,2,0,37,106,0,neutral,0,0,0,106,11.7,0
erik pieters,1.2,5,0,636,1936,0,neutral,100,14,0,1936,192.3,0.051626226
fabio borini,1.6,20,3,265,1314,0,neutral,0,0,0.15,438,86.7,0
facundo sebastián roncaglia,20,1,0,40,133,0,neutral,0,0,0,133,12.3,0
faustino marcos alberto rojo,1.8,1,0,211,586,0,neutral,0,0,0,586,63.6,0
fayçal fajr,4,8,0,150,609,0,neutral,0,0,0,609,47.4,0
federico nicolás cartabia,10.4,6,0,43,219,0,neutral,0,0,0,219,14.7,0
federico santiago valverde dipetta,960,3,0,116,379,0,neutral,0,0,0,379,35.7,0
federico vico villegas,2.4,1,0,5,35,0,neutral,0,0,0,35,1.8,0
felipe salvador caicedo corozo,80,3,0,99,610,0,neutral,0,0,0,610,30.6,0
fernando francisco reges,4,5,0,267,969,0,neutral,0,0,0,969,81.6,0
florian grégoire claude lejeune,16,2,0,36,140,0,neutral,0,0,0,140,11.4,0
florian thauvin,40,4,0,98,384,0,neutral,202,32,0,384,30.6,0.524675325
florin andone,1.6,6,0,34,268,0,neutral,0,0,0,268,12,0
francisco alcácer garcía,20,23,6,218,1126,0,neutral,0,0,0.260869565,187.6666667,74.7,0
francisco josé beltrán peinado,40,3,0,81,263,0,neutral,0,0,0,263,25.2,0
francisco josé olivas alba,1.4,2,1,151,511,0,neutral,0,0,0.5,511,46.3,0
francisco manuel vélez jiménez,1.2,1,0,14,64,0,neutral,0,0,0,64,4.5,0
francisco román alarcón suárez,32,10,0,493,1981,0,neutral,0,0,0,1981,150.9,0
franco damián vázquez,6,6,0,83,385,0,neutral,0,0,0,385,26.7,0
fredy hinestroza arias,1.4,2,0,37,194,0,neutral,0,0,0,194,11.7,0
frenkie de jong,360,3,1,1363,4556,0,neutral,373,69,0.333333333,4556,410.2,0.081852096
fábio henrique tavares,104,1,0,23,94,0,neutral,0,0,0,94,7.2,0
gabriel armando de abreu,5.6,5,0,388,1229,0,neutral,0,0,0,1229,117.9,0
gabriel iván mercado,1.2,2,1,43,183,0,neutral,0,0,0.5,183,13.9,0
gaku shibasaki,2.8,1,0,6,62,0,neutral,0,0,0,62,2.1,0
garry mendes rodrigues,2.6,4,0,44,285,0,neutral,0,0,0,285,14.4,0
gaël kakuta,2.8,2,0,76,370,0,neutral,154,21,0,370,23.4,0.41509434
geoffrey kondogbia,40,1,0,84,331,0,neutral,244,34,0,331,25.5,0.734939759
georginio wijnaldum,20,19,2,495,1984,0,neutral,232,48,0.105263158,992,155,0.116876574
gerard deulofeu lázaro,4,4,2,241,969,0,neutral,0,0,0.5,484.5,74.3,0
gerard moreno balaguero,22.4,7,1,151,766,0,neutral,0,0,0.142857143,766,47.8,0
giovani lo celso,120,6,1,74,317,0,neutral,456,85,0.166666667,317,24.4,1.433962264
gonzalo escalante,4,8,0,171,762,0,neutral,159,27,0,762,53.7,0.208387942
guangtai jiang,5.2,1,0,53,151,0,neutral,0,0,0,151,16.2,0
guido marcelo carrillo,2.8,1,0,13,69,0,neutral,0,0,0,69,4.2,0
guilherme antonio arana lopes,56,1,0,49,147,0,neutral,0,0,0,147,15,0
harry kane,520,59,10,359,2002,0.180004,positive,65,12,0.169491525,200.2,129.4,0.032451323
hernâni jorge santos fortes,1.6,2,0,12,47,0,neutral,0,0,0,47,4.2,0
heung-min son,136,17,2,163,801,0.189538202,positive,181,41,0.117647059,400.5,54.8,0.225685786
hugo mallo novegil,4,5,0,375,1293,0,neutral,0,0,0,1293,114,0
héctor bellerín moruno,20,5,0,557,1731,0,neutral,0,0,0,1731,168.6,0
héctor junior firpo adames,48,5,1,796,2518,0,neutral,0,0,0.2,2518,240.7,0
héctor miguel herrera lópez,7.2,1,0,56,198,0,neutral,0,0,0,198,17.1,0
hélder filipe oliveira lopes,1.6,2,0,92,319,0,neutral,0,0,0,319,28.2,0
iago aspas juncal,14.4,15,3,161,772,0,neutral,0,0,0.2,257.3333333,54,0
iddrisu baba mohammed,8,1,0,45,185,0,neutral,0,0,0,185,13.8,0
idrissa gana gueye,8,5,0,548,2071,0.176136207,positive,0,0,0,2071,165.9,0
ivan ricardo neves abreu cavaleiro,4,2,0,38,209,0,neutral,0,0,0,209,12,0
iván lópez álvarez,6.4,1,0,16,94,0,neutral,0,0,0,94,5.1,0
iñaki williams arthuer,80,14,0,112,682,0,neutral,0,0,0,682,37.8,0
jack grealish,200,7,0,125,589,0.128382167,positive,154,32,0,589,39.6,0.261016949
jaime mata arnaiz,80,2,1,41,275,0,neutral,0,0,0.5,275,13.3,0
jamaal lascelles,16,2,1,165,506,0.25912233,positive,682,92,0.5,506,50.5,1.345167653
james david rodríguez rubio,16,11,1,92,372,0,neutral,0,0,0.090909091,372,31.3,0
james mcclean,80,14,1,237,1081,0,neutral,0,0,0.071428571,1081,75.7,0
james philip milner,6,18,2,766,2837,0,neutral,0,0,0.111111111,1418.5,236,0
james ward-prowse,48,9,0,257,838,0.157784148,positive,15,3,0,838,79.8,0.017878427
jamie vardy,8,32,5,241,1490,0.137403506,positive,148,28,0.15625,298,83.9,0.09926224
javier hernández balcázar,2,2,0,23,131,0,neutral,0,0,0,131,7.5,0
javier martínez aginaga,5.6,2,0,46,139,0,neutral,0,0,0,139,14.4,0
javier ontiveros parra,14.4,1,0,32,129,0,neutral,0,0,0,129,9.9,0
javier sánchez de felipe,6.4,1,0,28,91,0,neutral,0,0,0,91,8.7,0
jay rodriguez,2.4,1,0,17,111,0,neutral,0,0,0,111,5.4,0
jean-sylvain claude babin,40,3,0,75,248,0,neutral,0,0,0,248,23.4,0
jefferson andrés lerma solís,64,4,0,49,241,0,neutral,0,0,0,241,15.9,0
jeffrey schlupp,16,2,0,162,578,0.153771654,positive,86,14,0,578,49.2,0.148531952
jeremie boga,64,1,0,6,37,0,neutral,0,0,0,37,2.1,0
jesse lingard,17.6,6,2,135,623,0.145396488,positive,113,32,0.333333333,311.5,43.1,0.181089744
jesé rodríguez ruiz,2.4,4,0,64,307,0,neutral,0,0,0,307,20.4,0
joan jordán moreno,16,3,0,212,727,0,neutral,0,0,0,727,64.5,0
joan sastre vanrell,8,1,0,58,235,0,neutral,0,0,0,235,17.7,0
joaquín fernández moreno,8,1,0,102,349,0,neutral,0,0,0,349,30.9,0
joaquín oscar larrivey,8,7,1,52,271,0,neutral,0,0,0.142857143,271,18.1,0
joe gomez,120,1,0,221,682,0,neutral,430,94,0,682,66.6,0.629575403
joel nathaniel campbell samuels,3,7,2,89,419,0,neutral,0,0,0.285714286,209.5,29.6,0
joel ward,2.4,9,1,543,1687,0.097133333,positive,156,23,0.111111111,1687,166,0.092417062
john guidetti,2,3,2,48,275,0,neutral,0,0,0.666666667,137.5,16.1,0
john stones,144,3,0,541,1660,0.159154333,positive,281,62,0,1660,163.2,0.169175196
jon moncayola tollar,56,3,0,16,97,0,neutral,0,0,0,97,5.7,0
jonathan calleri,12,1,0,21,142,0,neutral,48,5,0,142,6.6,0.335664336
jonathan castro otto,20,1,0,213,770,0,neutral,0,0,0,770,64.2,0
jonathan howson,40,7,1,369,1473,0,neutral,0,0,0.142857143,1473,113.2,0
jonathan javier rodríguez portillo,16,3,0,11,80,0,neutral,0,0,0,80,4.2,0
jonathan viera ramos,3.2,10,1,204,846,0,neutral,0,0,0.1,846,64.6,0
jonathan dos santos ramírez,2.8,3,0,123,551,0,neutral,0,0,0,551,37.8,0
jordan ayew,14.4,25,3,294,1718,0.130437645,positive,11,1,0.12,572.6666667,96.9,0.006399069
jordan brian henderson,16,9,0,404,1357,0,neutral,0,0,0,1357,123.9,0
jordan veretout,28,6,0,225,788,0,neutral,116,26,0,788,69.3,0.147021546
jordi amat maas,4.8,2,0,90,298,0,neutral,0,0,0,298,27.6,0
jordon ibe,80,10,1,184,845,0,neutral,0,0,0.1,845,58.6,0
jordy clasie,9.6,5,0,248,794,0,neutral,0,0,0,794,75.9,0
jorge resurrección merodio,56,9,1,643,2380,0,neutral,0,0,0.111111111,2380,196,0
josep señé escudero,1.2,1,0,39,193,0,neutral,0,0,0,193,12,0
josh onomah,2.4,1,0,17,61,0,neutral,92,12,0,61,5.4,1.483870968
joshua king,12,18,2,131,1021,0,neutral,44,9,0.111111111,510.5,45.5,0.043052838
josé antonio caro martínez,1.2,2,0,33,99,0,neutral,0,0,0,99,10.5,0
josé antonio delgado villar,60,3,0,98,407,0,neutral,0,0,0,407,30.3,0
josé antonio rodríguez díaz,6.4,2,0,25,169,0,neutral,0,0,0,169,8.1,0
josé ernesto sosa,60,1,0,27,140,0,neutral,0,0,0,140,8.4,0
josé ignacio fernández iglesias,14.4,1,0,85,248,0,neutral,0,0,0,248,25.8,0
josé ignacio martínez garcía,80,4,0,177,584,0,neutral,0,0,0,584,54.3,0
josé luis gayà peña,40,2,0,186,660,0,neutral,0,0,0,660,56.4,0
josé luis morales nogales,3.2,8,0,136,715,0,neutral,0,0,0,715,43.2,0
josé manuel arnáiz díaz,7.2,2,1,13,92,0,neutral,0,0,0.5,92,4.9,0
josé maría giménez de vargas,112,4,0,82,347,0,neutral,0,0,0,347,25.8,0
josé miguel da rocha fonte,80,8,0,514,1565,0,neutral,0,0,0,1565,156.6,0
josé rodríguez martínez,2,1,0,25,97,0,neutral,0,0,0,97,7.8,0
josé salomón rondón giménez,3.2,29,4,200,1374,0,neutral,0,0,0.137931034,343.5,70.3,0
josé ángel pozo la rosa,3.2,1,0,17,83,0,neutral,0,0,0,83,5.4,0
joão félix sequeira,200,3,0,22,128,0,neutral,0,0,0,128,7.5,0
juan camilo hernández suárez,144,4,1,42,211,0,neutral,0,0,0.25,211,14.2,0
juan carlos paredes reasco,8,1,0,155,488,0,neutral,0,0,0,488,46.8,0
juan carlos pérez lópez,1.6,3,0,138,500,0,neutral,0,0,0,500,42.3,0
juan guillermo cuadrado bello,8,1,0,14,68,0,neutral,0,0,0,68,4.5,0
juan manuel iturbe arévalo,3.6,1,0,10,63,0,neutral,0,0,0,63,3.3,0
juan manuel mata garcía,3,22,2,551,1998,0,neutral,0,0,0.090909091,999,172.7,0
juan miguel jiménez lópez,9.6,6,2,80,466,0,neutral,0,0,0.333333333,233,26.6,0
juan pablo añor acosta,3.2,5,1,75,452,0,neutral,0,0,0.2,452,24.4,0
juan pedro ramírez lópez,4,1,0,72,244,0,neutral,0,0,0,244,21.9,0
jules koundé,520,1,0,40,125,0,neutral,112,24,0,125,12.3,0.888888889
karim benzema,48,39,5,411,1867,0,neutral,96,20,0.128205128,373.4,137,0.051391863
kelechi promise iheanacho,30.4,1,0,27,121,0,neutral,0,0,0,121,8.4,0
kevin de bruyne,120,14,4,395,1433,0.181071667,positive,330,79,0.285714286,358.25,124.3,0.230125523
kevin mbabu,24,1,0,53,207,0,neutral,135,24,0,207,16.2,0.649038462
kevin toner,1.2,2,0,112,354,0,neutral,0,0,0,354,34.2,0
kevin wimmer,3.2,1,0,276,779,0,neutral,0,0,0,779,83.1,0
kieran trippier,20,2,1,286,763,0.150665731,positive,346,64,0.5,763,86.8,0.452879581
kurt happy zouma,32,8,0,370,1140,0,neutral,0,0,0,1140,113.4,0
kyle naughton,40,2,0,610,1828,0,neutral,0,0,0,1828,183.6,0
kyle walker,20,8,0,615,1857,0.096542667,positive,170,35,0,1857,186.9,0.091496233
leandro bacuna,2,9,0,451,1522,0,neutral,0,0,0,1522,138,0
leandro daniel cabrera sasía,8,1,0,72,213,0,neutral,0,0,0,213,21.9,0
