player_name,market_value
aaron cresswell,3.6
aaron ramsey,4.0
abdoulaye ba,60.0
abdoulaye doucouré,48.0
abdul rahman baba,16.0
abdón prats bastidas,7.2
abel ruiz ortega,24.0
adam smith,4.0
adnan januzaj,9.6
adrián embarba blázquez,8.0
adrián marín gómez,12.0
alberto moreno pérez,8.0
alberto paloschi,1.0
aleix garcía serrano,160.0
alejandro gallar falguera,1.2
alejandro menéndez díez,40.0
alejandro pozo pozo,12.0
aleksandar katai,5.6
aleksandar mitrović,96.0
alen halilović,6.4
alex iwobi,200.0
alex oxlade-chamberlain,12.0
alex sandro lobo silva,12.0
alexander isak,960.0
alexis alejandro sánchez sánchez,11.2
aly cissokho,80.0
anaitz arbilla zabala,80.0
ander barrenetxea muguruza,160.0
ander herrera agüera,4.0
andrew robertson,96.0
andros townsend,4.0
andré filipe tavares gomes,36.0
andré miguel valente silva,24.0
anssumane fati,80.0
ante budimir,24.0
anthony martial,48.0
antoine griezmann,88.0
antonio latorre grueso,12.0
armindo tué na bangna,40.0
arthur henrique ramos de oliveira melo,32.0
arturo erasmo vidal pardo,1.4
ashley westwood,3.2
ashley young,3.2
asier illarramendi andonegi,4.0
aymeric laporte,72.0
ayoze pérez gutiérrez,48.0
aïssa mandi,8.0
bakary sako,20.0
ben davies,40.0
bernard mensah,17.6
bertrand isidore traoré,40.0
borja gonzález tomás,3.6
borja iglesias quintas,24.0
borja mayoral moya,60.0
brais méndez portela,96.0
brendan joel zibusiso galloway,2.0
bryan oviedo,1.0
callum mcmanaman,40.0
callum wilson,40.0
cameron brannagan,4.8
carl jenkinson,60.0
carles aleña castillo,24.0
carles gil de pareja vicent,20.0
carles pérez sayol,14.4
carlos arturo bacca ahumada,40.0
carlos fernández luna,8.0
carlos henrique casimiro,64.0
carlos joaquín correa,24.0
carlos neva tey,8.0
carlos soler barragán,64.0
celso borges mora,1.2
chancel mbemba mangulu,20.0
cheikhou kouyaté,1.2
chris smalling,9.6
christian benteke liolo,12.0
christian dannemann eriksen,24.0
christian robert santos kwasniewski,20.0
chung-yong lee,2.0
claudio santos,5.2
clément lenglet,48.0
craig dawson,7.2
cristhian ricardo stuani curbelo,7.2
cristian portugués manzanera,12.0
cristiano ronaldo dos santos aveiro,96.0
cédric bakambu,11.2
cédric ricardo alves soares,6.4
césar azpilicueta tanco,9.6
daley blind,11.2
daniel carvajal ramos,56.0
daniel ceballos fernández,64.0
daniel garcía carrillo,6.4
daniel josé rodríguez vázquez,80.0
daniel nii tackie mensah welbeck,32.0
daniel parejo muñoz,9.6
daniel wass,4.0
daniel william john ings,28.0
daniele verde,6.0
danilo barbosa da silva,17.6
danilo luiz da silva,20.0
darko brašanac,3.2
darwin daniel machís marcano,3.6
david juncà reñé,1.2
david luiz moreira marinho,1.6
david lópez silva,6.4
david olatukunbo alaba,32.0
david remeseiro salgueiro,17.6
david simón rodríguez santana,40.0
dejan lovren,4.0
demarai gray,28.0
denis cheryshev,2.4
denis suárez fernández,9.6
deyverson brum silva acosta,3.2
diego mario buonanotte rende,20.0
diego da silva costa,3.2
dimitri foulquier,9.6
dimitri payet,4.0
divock okoth origi,4.0
duje čop,80.0
duncan watmore,4.0
dušan tadić,16.0
edgar antonio méndez ortega,2.0
eduardo expósito jaén,32.0
eliaquim mangala,1.2
emiliano buendía,144.0
emiliano daniel velázquez maldonado,2.4
emmanuel okyere boateng,9.6
emre can,48.0
enes ünal,64.0
enis bardhi,24.0
enner remberto valencia lastra,12.0
enrique garcía martínez,6.4
enrique pérez muñoz,17.6
enzo nicolás pérez,1.2
enzo pablo roco roco,3.2
eric dier,56.0
erick cathriel cabaco almada,2.0
erik pieters,1.2
fabio borini,1.6
facundo sebastián roncaglia,20.0
faustino marcos alberto rojo,1.8
fayçal fajr,4.0
federico nicolás cartabia,10.4
federico santiago valverde dipetta,960.0
federico vico villegas,2.4
felipe salvador caicedo corozo,80.0
fernando francisco reges,4.0
florian grégoire claude lejeune,16.0
florian thauvin,40.0
florin andone,1.6
francisco alcácer garcía,20.0
francisco josé beltrán peinado,40.0
francisco josé olivas alba,1.4
francisco manuel vélez jiménez,1.2
francisco román alarcón suárez,32.0
franco damián vázquez,6.0
fredy hinestroza arias,1.4
frenkie de jong,360.0
fábio henrique tavares,104.0
gabriel armando de abreu,5.6
gabriel iván mercado,1.2
gaku shibasaki,2.8
garry mendes rodrigues,2.6
gaël kakuta,2.8
geoffrey kondogbia,40.0
georginio wijnaldum,20.0
gerard deulofeu lázaro,4.0
gerard moreno balaguero,22.4
giovani lo celso,120.0
gonzalo escalante,4.0
guangtai jiang,5.2
guido marcelo carrillo,2.8
guilherme antonio arana lopes,56.0
harry kane,520.0
hernâni jorge santos fortes,1.6
heung-min son,136.0
hugo mallo novegil,4.0
héctor bellerín moruno,20.0
héctor junior firpo adames,48.0
héctor miguel herrera lópez,7.2
hélder filipe oliveira lopes,1.6
iago aspas juncal,14.4
iddrisu baba mohammed,8.0
idrissa gana gueye,8.0
ivan ricardo neves abreu cavaleiro,4.0
iván lópez álvarez,6.4
iñaki williams arthuer,80.0
jack grealish,200.0
jaime mata arnaiz,80.0
jamaal lascelles,16.0
james david rodríguez rubio,16.0
james mcclean,80.0
james philip milner,6.0
james ward-prowse,48.0
jamie vardy,8.0
javier hernández balcázar,2.0
javier martínez aginaga,5.6
javier ontiveros parra,14.4
javier sánchez de felipe,6.4
jay rodriguez,2.4
jean-sylvain claude babin,40.0
jefferson andrés lerma solís,64.0
jeffrey schlupp,16.0
jeremie boga,64.0
jesse lingard,17.6
jesé rodríguez ruiz,2.4
joan jordán moreno,16.0
joan sastre vanrell,8.0
joaquín fernández moreno,8.0
joaquín oscar larrivey,8.0
joe gomez,120.0
joel nathaniel campbell samuels,3.0
joel ward,2.4
john guidetti,2.0
john stones,144.0
jon moncayola tollar,56.0
jonathan calleri,12.0
jonathan castro otto,20.0
jonathan howson,40.0
jonathan javier rodríguez portillo,16.0
jonathan viera ramos,3.2
jonathan dos santos ramírez,2.8
jordan ayew,14.4
jordan brian henderson,16.0
jordan veretout,28.0
jordi amat maas,4.8
jordon ibe,80.0
jordy clasie,9.6
jorge resurrección merodio,56.0
josep señé escudero,1.2
josh onomah,2.4
joshua king,12.0
josé antonio caro martínez,1.2
josé antonio delgado villar,60.0
josé antonio rodríguez díaz,6.4
josé ernesto sosa,60.0
josé ignacio fernández iglesias,14.4
josé ignacio martínez garcía,80.0
josé luis gayà peña,40.0
josé luis morales nogales,3.2
josé manuel arnáiz díaz,7.2
josé maría giménez de vargas,112.0
josé miguel da rocha fonte,80.0
josé rodríguez martínez,2.0
josé salomón rondón giménez,3.2
josé ángel pozo la rosa,3.2
joão félix sequeira,200.0
juan camilo hernández suárez,144.0
juan carlos paredes reasco,8.0
juan carlos pérez lópez,1.6
juan guillermo cuadrado bello,8.0
juan manuel iturbe arévalo,3.6
juan manuel mata garcía,3.0
juan miguel jiménez lópez,9.6
juan pablo añor acosta,3.2
juan pedro ramírez lópez,4.0
jules koundé,520.0
karim benzema,48.0
kelechi promise iheanacho,30.4
kevin de bruyne,120.0
kevin mbabu,24.0
kevin toner,1.2
kevin wimmer,3.2
kieran trippier,20.0
kurt happy zouma,32.0
kyle naughton,40.0
kyle walker,20.0
leandro bacuna,2.0
leandro daniel cabrera sasía,8.0
